open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2017-12-13 03:32:00,272.00000000,272.00000000,272.00000000,272.00000000,0.50000000,2017-12-13 03:32:59.999,136.00000000,1,0.00000000,0.00000000,0
2017-12-13 03:33:00,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,2017-12-13 03:33:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:34:00,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,2017-12-13 03:34:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:35:00,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,2017-12-13 03:35:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:36:00,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,2017-12-13 03:36:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:37:00,273.00000000,275.00000000,273.00000000,275.00000000,23.02999000,2017-12-13 03:37:59.999,6307.43727000,5,0.00000000,0.00000000,0
2017-12-13 03:38:00,275.00000000,275.00000000,275.00000000,275.00000000,0.69000000,2017-12-13 03:38:59.999,189.75000000,2,0.00000000,0.00000000,0
2017-12-13 03:39:00,275.00000000,275.00000000,275.00000000,275.00000000,18.63000000,2017-12-13 03:39:59.999,5123.25000000,4,0.00000000,0.00000000,0
2017-12-13 03:40:00,275.00000000,275.00000000,275.00000000,275.00000000,0.01282000,2017-12-13 03:40:59.999,3.52550000,1,0.00000000,0.00000000,0
2017-12-13 03:41:00,275.00000000,275.00000000,275.00000000,275.00000000,0.01000000,2017-12-13 03:41:59.999,2.75000000,1,0.01000000,2.75000000,0
2017-12-13 03:42:00,275.00000000,275.00000000,275.00000000,275.00000000,0.00000000,2017-12-13 03:42:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:43:00,275.00000000,288.00000000,275.00000000,288.00000000,3.74560000,2017-12-13 03:43:59.999,1049.03712000,6,2.40562000,675.50268000,0
2017-12-13 03:44:00,288.00000000,288.00000000,288.00000000,288.00000000,0.00000000,2017-12-13 03:44:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:45:00,280.00000000,280.00000000,275.50000000,275.50000000,9.10732000,2017-12-13 03:45:59.999,2519.25300000,6,0.00000000,0.00000000,0
2017-12-13 03:46:00,275.50000000,279.99000000,275.50000000,278.00000000,10.08619000,2017-12-13 03:46:59.999,2782.78934500,5,0.60000000,167.99400000,0
2017-12-13 03:47:00,278.00000000,278.00000000,278.00000000,278.00000000,0.00000000,2017-12-13 03:47:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-12-13 03:48:00,278.00000000,278.00000000,278.00000000,278.00000000,0.00546000,2017-12-13 03:48:59.999,1.51788000,1,0.00546000,1.51788000,0
2017-12-13 03:49:00,279.99000000,280.00000000,278.00000000,280.00000000,33.94130000,2017-12-13 03:49:59.999,9439.13304020,14,3.66709000,1022.90266020,0
2017-12-13 03:50:00,279.99000000,281.00000000,279.99000000,281.00000000,17.20249000,2017-12-13 03:50:59.999,4829.71010000,5,4.15249000,1162.66010000,0
2017-12-13 03:51:00,281.00000000,281.00000000,281.00000000,281.00000000,0.12474000,2017-12-13 03:51:59.999,35.05194000,3,0.03933000,11.05173000,0
2017-12-13 03:52:00,281.00000000,281.00000000,276.00000000,276.00000000,12.01030000,2017-12-13 03:52:59.999,3325.11745000,6,0.00000000,0.00000000,0
