open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2020-09-17 03:00:00,0.30000000,15.00000000,0.30000000,3.02700000,546327.54000000,2020-09-17 03:00:59.999,2046420.12853400,1542,315759.27000000,1270911.21268100,0
2020-09-17 03:01:00,3.10090000,3.73470000,3.04960000,3.60000000,334637.13000000,2020-09-17 03:01:59.999,1147504.85138000,1205,232718.75000000,799108.07525900,0
2020-09-17 03:02:00,3.59990000,3.80000000,3.39000000,3.59940000,270513.35000000,2020-09-17 03:02:59.999,971201.32918600,1510,147826.21000000,534856.72728400,0
2020-09-17 03:03:00,3.59940000,3.69830000,3.13450000,3.22180000,210944.96000000,2020-09-17 03:03:59.999,739200.11229900,1152,76064.30000000,269585.51342500,0
2020-09-17 03:04:00,3.20010000,3.50000000,3.19260000,3.39890000,88370.94000000,2020-09-17 03:04:59.999,298966.48616200,699,51548.88000000,175231.93374800,0
2020-09-17 03:05:00,3.39890000,3.45000000,3.18410000,3.18440000,131125.48000000,2020-09-17 03:05:59.999,430343.64304200,547,66030.70000000,214914.51361000,0
2020-09-17 03:06:00,3.19710000,3.36000000,3.13490000,3.26040000,139690.01000000,2020-09-17 03:06:59.999,452385.27048000,822,66577.21000000,215494.39161900,0
2020-09-17 03:07:00,3.28000000,3.36000000,3.20730000,3.36000000,78941.56000000,2020-09-17 03:07:59.999,260252.94946600,466,41367.04000000,136691.98285200,0
2020-09-17 03:08:00,3.36000000,3.49890000,3.35000000,3.48770000,120811.37000000,2020-09-17 03:08:59.999,412656.80078700,504,72796.13000000,249131.47906300,0
2020-09-17 03:09:00,3.48770000,3.48900000,3.39750000,3.46790000,74954.99000000,2020-09-17 03:09:59.999,258345.21351500,386,28026.22000000,96592.30499200,0
2020-09-17 03:10:00,3.46870000,3.72090000,3.46870000,3.66000000,188974.60000000,2020-09-17 03:10:59.999,678961.26174400,918,136644.10000000,490675.93234300,0
2020-09-17 03:11:00,3.68990000,3.70000000,3.49890000,3.50000000,157139.93000000,2020-09-17 03:11:59.999,560222.71072800,682,62801.22000000,226049.47484600,0
2020-09-17 03:12:00,3.50000000,3.54000000,3.45340000,3.52010000,45529.48000000,2020-09-17 03:12:59.999,159955.37281400,260,25016.75000000,87991.93539900,0
2020-09-17 03:13:00,3.52020000,3.54990000,3.50020000,3.51010000,57873.60000000,2020-09-17 03:13:59.999,204130.72394100,330,23166.05000000,81798.85898000,0
2020-09-17 03:14:00,3.51010000,3.52970000,3.40010000,3.42700000,84593.78000000,2020-09-17 03:14:59.999,294918.47591800,337,36499.96000000,127231.85652000,0
2020-09-17 03:15:00,3.42980000,3.44990000,3.35000000,3.39710000,81563.56000000,2020-09-17 03:15:59.999,278239.11210900,404,33726.79000000,115063.92578000,0
2020-09-17 03:16:00,3.38900000,3.40000000,3.20010000,3.22510000,109814.11000000,2020-09-17 03:16:59.999,360410.65002400,510,31801.17000000,104049.10581300,0
2020-09-17 03:17:00,3.22520000,3.27440000,3.05600000,3.18000000,146988.35000000,2020-09-17 03:17:59.999,465047.29878400,738,46299.47000000,146857.07782700,0
2020-09-17 03:18:00,3.19050000,3.29050000,3.15000000,3.29050000,61559.50000000,2020-09-17 03:18:59.999,196957.50771900,500,24331.95000000,78196.04654400,0
2020-09-17 03:19:00,3.27820000,3.30000000,3.10710000,3.12990000,65256.47000000,2020-09-17 03:19:59.999,209107.35718200,364,15849.16000000,50846.15278600,0
2020-09-17 03:20:00,3.11010000,3.16630000,3.03390000,3.15000000,67173.86000000,2020-09-17 03:20:59.999,208367.53794300,413,18731.88000000,58244.12776800,0
2020-09-17 03:21:00,3.13700000,3.15000000,3.10960000,3.11710000,28394.64000000,2020-09-17 03:21:59.999,88670.67663300,199,13110.58000000,40996.14010900,0
2020-09-17 03:22:00,3.11500000,3.14700000,3.10960000,3.14490000,45284.75000000,2020-09-17 03:22:59.999,141578.96459500,197,14994.71000000,47006.46845800,0
2020-09-17 03:23:00,3.12730000,3.13580000,2.75000000,2.75070000,139138.70000000,2020-09-17 03:23:59.999,413318.01046700,837,42266.55000000,126119.92680600,0
2020-09-17 03:24:00,2.75070000,3.00000000,2.60260000,2.65000000,146527.81000000,2020-09-17 03:24:59.999,403864.04163500,731,52306.95000000,146072.77041200,0
2020-09-17 03:25:00,2.66000000,2.77370000,2.63700000,2.75010000,133306.35000000,2020-09-17 03:25:59.999,359963.54996300,487,71589.35000000,193400.51405300,0
2020-09-17 03:26:00,2.76070000,2.76970000,2.65310000,2.69930000,99837.91000000,2020-09-17 03:26:59.999,271633.55251800,431,37028.65000000,100931.63441400,0
2020-09-17 03:27:00,2.66370000,2.77690000,2.66360000,2.77000000,39948.96000000,2020-09-17 03:27:59.999,108987.68163800,374,25441.78000000,69499.33757200,0
2020-09-17 03:28:00,2.77690000,2.88920000,2.75000000,2.84930000,81535.57000000,2020-09-17 03:28:59.999,230332.65338200,401,38234.85000000,107896.19436200,0
2020-09-17 03:29:00,2.84930000,2.93200000,2.83350000,2.86000000,79091.64000000,2020-09-17 03:29:59.999,227773.89533700,350,29306.26000000,84240.16353600,0
2020-09-17 03:30:00,2.88810000,2.93180000,2.85000000,2.92630000,40374.26000000,2020-09-17 03:30:59.999,116622.66773200,193,18549.44000000,53566.32388100,0
2020-09-17 03:31:00,2.93000000,3.20910000,2.92630000,3.19780000,117782.52000000,2020-09-17 03:31:59.999,363816.35470800,541,84871.39000000,261695.04992200,0
2020-09-17 03:32:00,3.19000000,3.39000000,3.15000000,3.28900000,155399.06000000,2020-09-17 03:32:59.999,506502.28209700,661,97468.67000000,318512.73559000,0
2020-09-17 03:33:00,3.29000000,3.55000000,3.20000000,3.51840000,134695.11000000,2020-09-17 03:33:59.999,457366.03897000,675,85339.11000000,290169.47715200,0
2020-09-17 03:34:00,3.53080000,3.57000000,3.21640000,3.26530000,122206.83000000,2020-09-17 03:34:59.999,416740.84600200,733,50048.72000000,171917.10192200,0
2020-09-17 03:35:00,3.27000000,3.36600000,3.25000000,3.36600000,56978.45000000,2020-09-17 03:35:59.999,188254.94948300,434,26109.87000000,86457.31162200,0
2020-09-17 03:36:00,3.36380000,3.50000000,3.35000000,3.50000000,88902.44000000,2020-09-17 03:36:59.999,304534.05222700,513,46656.70000000,160215.01881700,0
2020-09-17 03:37:00,3.47790000,3.52290000,3.33000000,3.39990000,89062.59000000,2020-09-17 03:37:59.999,307007.50605800,546,30820.95000000,106655.87304100,0
2020-09-17 03:38:00,3.37990000,3.37990000,3.22300000,3.25580000,78247.34000000,2020-09-17 03:38:59.999,258509.62354200,464,27626.25000000,91394.86465200,0
2020-09-17 03:39:00,3.25580000,3.35190000,3.24390000,3.28560000,49990.11000000,2020-09-17 03:39:59.999,164531.11936400,387,18979.38000000,62510.13384400,0
2020-09-17 03:40:00,3.28050000,3.29480000,3.15000000,3.17980000,40370.22000000,2020-09-17 03:40:59.999,130094.52586800,301,15246.27000000,49264.12903500,0
2020-09-17 03:41:00,3.17970000,3.28990000,3.12000000,3.17990000,62038.69000000,2020-09-17 03:41:59.999,196864.44472900,442,25050.41000000,79832.04042800,0
2020-09-17 03:42:00,3.17990000,3.24900000,3.11000000,3.14120000,74391.65000000,2020-09-17 03:42:59.999,236012.61311500,390,29228.56000000,93058.14931600,0
